supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Morrisons,2.4,2.4,l,Plenish Organic Gluten Free Oat Barista Milk,20240413,free-from,False
Morrisons,3.6,7.5,kg,Promise Soft White Loaf,20240413,free-from,False
Morrisons,4.0,8.9,kg,Kirsty's Takeaway Ginger Chicken & Spring Onion,20240413,free-from,False
Morrisons,2.2,5.5,kg,Koko Plain Yogurt Alt,20240413,free-from,False
Morrisons,1.65,6.6,kg,Koko Raspberry Yogurt Alternative,20240413,free-from,False
Morrisons,1.35,1.35,l,Morrisons Lactose Free Semi Skimmed Milk,20240413,free-from,True
Morrisons,1.35,1.35,l,Arla LactoFREE Semi Skimmed Milk Drink,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Almond No Sugars Chilled Drink,20240413,free-from,False
Morrisons,1.35,1.35,l,Arla LactoFREE Whole Milk Drink,20240413,free-from,False
Morrisons,1.35,1.35,l,Morrisons Lactose Free Skimmed Milk,20240413,free-from,True
Morrisons,2.1,5.3,kg,Alpro Greek Style Plain Yoghurt Alternative,20240413,free-from,False
Morrisons,2.5,12.5,kg,Arla LactoFREE Mature Cheddar Cheese,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Soya Chilled Drink,20240413,free-from,False
Morrisons,1.35,1.35,l,Arla LactoFREE Skimmed Milk Drink,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Soya No Sugars Chilled Drink,20240413,free-from,False
Morrisons,1.35,1.35,l,Morrisons Lactose Free Whole Milk,20240413,free-from,True
Morrisons,1.2,2.4,kg,Morrisons Free From Penne,20240413,free-from,True
Morrisons,3.5,3.5,kg,Flora Original Spread With Natural Ingredients,20240413,free-from,False
Morrisons,1.9,3.8,kg,Morrisons Free From Seeded Loaf,20240413,free-from,True
Morrisons,1.75,0.44,unit,Morrisons Free From White Rolls,20240413,free-from,True
Morrisons,3.5,3.5,kg,Flora Lighter Spread With Natural Ingredients,20240413,free-from,False
Morrisons,2.2,7.3,kg,Warburtons Gluten Free Multiseed Loaf,20240413,free-from,False
Morrisons,2.0,12.5,kg,Nain's Gluten Free Choc Chip Biscuits,20240413,free-from,False
Morrisons,1.5,1.5,l,Alpro Oat Chilled Drink,20240413,free-from,False
Morrisons,3.0,13.9,kg,Old El Paso Gluten Free Tortilla Wraps,20240413,free-from,False
Morrisons,2.9,0.72,unit,Warburtons Gluten Free Super…,20240413,free-from,False
Morrisons,2.0,2.0,l,Arla LactoFREE Long Life Semi Skimmed Milk Drink,20240413,free-from,False
Morrisons,2.1,2.1,l,Oatly The Original Oat Drink Whole,20240413,free-from,False
Morrisons,1.7,2.27,kg,Morrisons Free From Homestyle Chips,20240413,free-from,True
Morrisons,1.59,8.0,kg,Dr. Oetker Bicarbonate of Soda,20240413,free-from,False
