supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,year,month,day,dayofweek
Aldi,0.65,7.2,kg,Mamia Organic Strawberry Greek Style Yogurt 90g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.09,10.9,kg,Mamia Organic Banana Breakfast Purée 100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.09,10.9,kg,Mamia Organic Mango Breakfast Purée 100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.59,8.4,kg,Mamia Organic Tomato Pasta 190g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.59,8.4,kg,Mamia Organic Beef Stew With Potatoes 190g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.49,12.4,kg,Mamia Organic Apple Soft Biscotti Biscuit 6x20g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.49,12.4,kg,Mamia Organic Strawberry Soft Biscotti Biscuit 6x20g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.59,8.4,kg,Mamia Organic Spaghetti Bolognese With Cheese 190g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.59,5.8,kg,Mamia Just Apples Purée 5x90g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.59,5.8,kg,Mamia Organic Just Bananas Purée 5x90g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.59,8.4,kg,Mamia Organic Thai Style Chicken Curry With Rice 190g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.59,8.4,kg,Mamia Organic Chicken Casserole With Rice 190g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.59,8.4,kg,Mamia Organic Coconut & Chicken Risotto 190g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
